isAnOfficialTag,firstAppearanceInMarioMaker,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
TRUE,1.0.0,None,,,Aucun,,,–,Ninguna,,,Nessuna,Geen,,,,—,なし,,無,无,없음
TRUE,1.0.0,Standard,,,Classique,,,Klassisch,,Clásico,Tradicional,Classico,Traditioneel,,,,Классика,スタンダード,,標準,标准,일반
TRUE,1.0.0,Puzzle-solving,,,Énigme,,,Rätsel,,Rompecabezas,Temático,Rompicapi,Puzzelen,,,,Головоломка,なぞとき,,解謎,解谜,수수께끼
TRUE,1.0.0,Speedrun,,,Contre-la-montre,,,Gegen die Zeit,Contrarreloj,,,Corsa,Speedrun,,,,На скорость,タイムアタック,,計時,计时挑战,타임 어택
TRUE,1.0.0,Autoscroll,,,Défilement auto,,,Auto-Scrolling,Autoavance,,,Scorrimento,Automatisch,,,,Автопрокрутка,オートスクロール,,自動捲軸,自动卷轴,오토스크롤
TRUE,1.0.0,Auto-Mario,,,Automatique,,,Automatisch,Automatismos,,,Automatico,Automatisch,,,,Автомарио,オートマリオ,,自動瑪利歐,自动马力欧,오토마리오
FALSE,,One screen,,,Un écran,,,,,,,,,,,,,,,,,
TRUE,1.0.0,Short and sweet,,,,"Court, mais bon",Court mais bon,Kurz und knackig,Corto pero intenso,,,Corto ma bello,Kort maar krachtig,,,,"Хорошо, но мало",一発ネタ,,趣味點子,一次通过,재미 한 방!
FALSE,,Precision,,,Précision,,,,,,,,,,,,,,,,,
TRUE,3.0.0,Shooter,,,,Jeu de tir,Shoot 'em up,Shooter,Disparos,,,Sparatutto,Schieten,,,,Шутер,シューティング,,射擊,射击,슈팅
TRUE,3.0.0,Single player,,,Joueur solo,,,Einzelspieler,,Individual,En solitario,Un giocatore,Eén speler,,,,В одиночку,シングルプレイ,,單打,单打,싱글 플레이
TRUE,1.0.0,Multiplayer Versus,,,Affrontement,,,Gegeneinander,Competitivo,,,Competizione,Strijd,,,,Поединок,みんなでバトル,,多人對戰,多人对战,함께 배틀
FALSE,,Multiplayer Co-op,,,Coopération,,,,,,,,,,,,,,,,,
TRUE,1.0.0,Themed,,,Thématique,,,Thema,,Mecanismos,Temático,Tematico,Thema,,,,Атмосферно,ギミック,,機關設計,机关设计,장치 공략
TRUE,1.0.0,Music,,,Musique,,,Musik,Música,,,Musica,Muziek,,,,Музыка,音楽,,音樂,音乐,음악
TRUE,3.0.0,Art,,,Artistique,,,Kunst,Artístico,,,Artistico,Artistiek,,,,Искусство,アート,,美術,美术,아트
FALSE,,Showcase,,,Présentation,,,,,,,,,,,,,,,,,
FALSE,,Story,,,Histoire,,,,,,,,,,,,,,,,,
FALSE,,Exploration,,,Exploration,,,,,,,,,,,,,,,,,
TRUE,3.0.0,Technical,,,Technique,,,Technik,Habilidad,,,Tecnico,Technisch,,,,Технично,テクニック,技巧,,,테크닉
TRUE,3.0.0,Boss battle,,,Combat de boss,,,Bosskampf,Contra jefes,,,Scontro col boss,Eindbaasgevecht,,,,Битва с боссом,ボスバトル,,對戰BOSS,对战BOSS,보스 배틀
TRUE,3.0.0,Link,,,Link,,,Link,Link,,,Link,Link,,,,Линк,リンク,林克,,,링크
FALSE,,Glitch,,,Problème,,,,,,,,,,,,,,,,,
FALSE,,Troll,,,Trol,,,,,,,,,,,,,,,,,
FALSE,,Kaizo,,,Kaizo,,,,,,,,,,,,,,,,,
