isInSuperMarioMaker1,isInSuperMarioMakerFor3DS,isInSuperMarioMaker2,pluralFormOf,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
TRUE,TRUE,FALSE,,Flyday,,,BZZendredi,,,Fliegtag,Viernezzz,,,Venerzzzì,Vliegdag,Bzzexta-feira,,,Полетница,Flyday,,,,
TRUE,TRUE,FALSE,,,Happy Sunday,Today is Sunday,,Bon dimanche!,C'est dimanche !,Endlich Sonntag,¡Ya es domingo!,,,Già domenica!,Het is zondag!,Hoje é Domingo,,,Воскресенье,今日は 日曜,,,,
TRUE,TRUE,FALSE,,"Let's get
making!",,,,"Créons des
niveaux!","Créons des
stages !","Zeit zum
Bauen!","¡A CREAR
SE HA DICHO!",,,"DIAMOCI
DA FARE!","Tijd om iets
te bouwen!",Mãos à obra!,,,"Дизайнеры,
за работу!","いっぱい
つくれる！",,,,
FALSE,FALSE,TRUE,,Game Style,,,Style de jeu,,,Spiel-Thema,Apariencia,,,Stile,Gamestijl,,,,Стиль,ゲームスキン,,遊戲外觀,游戏风格,게임 배경
FALSE,FALSE,TRUE,,Extra Game Styles,,,Style de jeu supplémentaire,,,Bonus-Spiel-Themen,Especiales,,,Stili aggiuntivi,Speciaal,,,,Другие стили,エクストラゲームスキン,,額外遊戲外觀,特制游戏风格,엑스트라 게임 배경
FALSE,FALSE,TRUE,,Current Condition,,,Condition actuelle,,,Aktive Zielbedingung:,Actual:,,,Condizione attuale,Huidige winvoorwaarde:,,,,Текущее условие:,げんざいのじょうけん,,現在的條件,当前的条件,현재 조건
FALSE,FALSE,TRUE,,Clear condition,,,Condition de victoire,,,Zielbedingung,Condición especial,,,Condizione speciale,Winvoorwaarde,,,,Условие прохождения,ゴールじょうけん,,過關條件,终点条件,클리어 조건
FALSE,FALSE,TRUE,,Course Maker,,,,Créateur de niveaux,Créer un stage,Level bauen,Crear un nivel,,,Crea un livello,Level maken,,,,Редактор,コースをつくる,,創作關卡,创作关卡,코스 만들기
FALSE,FALSE,TRUE,,Course Theme,,,Décor,,,Umgebung,Entorno,,,Tema,Levelthema,,,,Тема уровня,シーンスキン,,場景外觀,场景类型,코스 배경
FALSE,FALSE,TRUE,,World Maker,,,Créer un super monde,,,Welt bauen,Crear un mundo,,,Crea un mondo,Wereld maken,,,,Мастерская миров,ワールドをつくる,,創作世界,创作世界,월드 만들기
FALSE,FALSE,TRUE,,World Theme,,,Décor,,,Umgebung,Entorno,,,Tema,Wereldthema,,,,Тема мира,シーンスキン,,場景外觀,场景类型,월드 배경
FALSE,FALSE,TRUE,,Autoscroll,,,Défilement auto,,,,Autoavance,,,,,,,,,,,,,
TRUE,TRUE,TRUE,,Mario's Trail,,,Trajectoire du joueur,,,,Recorrido de Mario,,,,,,,,,,,,,
TRUE,TRUE,TRUE,,Copy,,,Copier,,,Kopieren,Copiar,,,Copia,Kopiëren,,,,Копирование,コピー,,複製,复制,복사
TRUE,TRUE,TRUE,,Erase,,,,Effacer,Gomme,Radiergummi,,Borrador,Goma de borrar,Cancella,Wisser,,,,Удаление,消しゴム,橡皮擦,,,지우개
TRUE,TRUE,TRUE,,Multigrab,,,Sélection multiple,,,Mehrfachauswahl,,Agrupar,Selección múltiple,Selezione multipla,Selecteren,,,,Выделение,複数せんたく,,複選,多选,멀티 선택
FALSE,FALSE,TRUE,,Solo Making,,,Créer en solo,,,,Individual,,,,,,,,,,,,,
FALSE,FALSE,TRUE,,Co-op Making,,,Créer en duo,,,,En pareja,,,,,,,,,,,,,
FALSE,FALSE,TRUE,,View Mode,,,Mode observation,,,Ansicht,Cambiar vista,,,Cambia visuale,Zoomen,,,,Приблизить,ビューモード,观看模式,觀看模式,,뷰 모드
